"Region","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2022 (current prices)","","Omitted countries"
"World Total","1602.1","1584.1","1526.8","xxx","1287.9","1234.5","1243.8","1162.9","1111.6","1126.8","1114.6","1137.6","1177.4","1202.9","1280.6","1374.4","1461.4","1515.4","1566.3","1630.8","1725.1","1845.0","1881.7","1887.9","1871.3","1838.8","1834.0","1862.0","1871.7","1893.1","1950.2","2028.6","2091.9","2104.1","2181.9","2239.9","",""
"Africa Total","16.2","16.3","16.3","14.4","13.4","15.2","60.1","36.1","12.5","13.4","14.1","19.6","17.8","18.4","20.2","19.2","22.0","22.1","26.0","27.3","31.9","32.4","34.2","38.0","37.6","40.5","42.4","40.5","38.6","37.6","36.3","37.2","39.0","40.0","37.9","39.4","","Djibouti, Eritrea, Somalia"
"North Africa","3.3","3.5","3.4","3.6","4.0","4.2","4.5","4.3","4.5","5.0","5.2","4.8","4.7","6.1","6.2","6.4","7.0","7.2","7.2","7.8","9.2","10.2","11.1","13.8","14.8","16.8","17.9","18.2","18.2","17.6","17.2","18.3","19.5","19.2","18.6","19.1","",""
"sub-Saharan Africa","12.9","12.8","12.9","10.9","9.4","11.0","55.6","31.8","8.0","8.4","8.9","14.8","13.1","12.3","14.0","12.7","15.0","14.9","18.8","19.5","22.7","22.2","23.1","24.2","22.8","23.6","24.5","22.3","20.4","20.0","19.1","19.0","19.5","20.8","19.3","20.3","",""
"Americas Total","761.6","754.0","720.3","637.1","667.9","637.6","609.4","573.6","544.1","538.5","529.8","531.9","550.6","557.9","620.0","696.8","756.7","792.1","804.9","829.8","890.4","959.5","985.6","975.4","925.5","860.5","813.0","798.0","794.8","793.6","816.7","858.3","897.7","888.4","891.1","961.1","","Cuba"
"Central America and the Caribbean","4.3","4.4","4.0","3.8","4.2","4.3","4.9","4.3","4.3","4.4","4.4","4.6","4.7","4.9","4.6","4.6","4.3","4.4","4.3","5.3","5.5","6.3","6.1","6.5","6.9","7.4","7.7","7.4","8.2","7.7","8.4","9.2","11.3","10.9","10.3","11.2","",""
"North America","728.9","722.8","693.5","613.4","645.2","611.6","580.4","542.3","512.4","508.6","497.9","499.8","518.3","522.8","585.2","664.2","723.2","756.4","767.9","789.5","847.0","913.0","936.4","926.2","874.9","807.6","759.3","745.1","743.1","740.0","761.4","803.0","840.5","831.6","837.7","903.8","",""
"South America","28.5","26.8","22.8","19.9","18.5","21.8","24.0","27.0","27.4","25.5","27.4","27.5","27.6","30.3","30.2","27.9","29.2","31.3","32.8","34.9","38.0","40.3","43.2","42.7","43.7","45.5","46.0","45.5","43.5","45.9","46.9","46.1","45.9","45.9","43.1","46.1","",""
"Asia & Oceania Total","142.4","149.8","156.8","159.6","167.2","171.1","172.2","177.1","181.6","188.0","188.5","199.6","204.2","216.0","226.6","236.2","250.3","263.1","278.6","295.6","313.7","353.5","361.7","375.3","392.6","410.5","432.3","457.2","481.1","502.7","523.0","549.0","567.8","580.4","595.9","574.9","","Korea, North, Turkmenistan, Uzbekistan"
"Oceania","15.8","15.8","16.0","16.0","16.3","16.8","17.0","16.5","16.4","16.6","17.3","18.0","18.0","18.5","19.1","19.4","20.0","20.6","21.9","23.1","23.8","25.5","25.8","25.4","24.6","24.3","26.3","28.8","31.5","31.6","31.1","32.5","34.0","35.8","36.0","35.3","",""
"South Asia","26.0","27.1","27.1","26.3","25.9","28.5","28.7","30.1","30.4","32.5","33.7","37.8","39.3","40.5","40.6","41.6","47.3","49.9","50.6","51.6","56.9","65.7","66.6","67.7","67.8","68.1","71.8","73.5","79.9","85.5","89.5","95.0","95.3","95.6","99.4","98.3","",""
"East Asia","85.7","90.7","95.9","99.2","106.4","106.5","105.8","108.2","111.5","114.3","115.5","122.3","125.6","135.3","143.8","149.6","157.4","166.2","178.4","189.0","200.4","228.1","234.6","246.3","262.8","276.8","293.3","311.8","324.5","339.0","357.2","375.2","390.1","400.8","414.6","396.9","",""
"South East Asia","14.9","16.2","17.8","18.1","18.5","18.8","20.4","22.0","22.9","24.2","21.6","21.2","21.0","21.3","22.6","25.0","25.0","25.6","26.8","30.6","31.5","33.0","33.4","34.5","35.8","39.4","39.1","42.9","43.5","45.0","43.5","44.2","46.6","46.5","44.6","43.1","",""
"Central Asia","0.0","0.0","0.0","0.0","0.1","0.6","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.8","0.9","1.3","1.2","1.1","1.3","1.4","1.6","1.8","1.8","0.2","1.6","1.6","1.7","2.1","1.8","1.8","1.3","1.4","",""
"Europe Total","615.6","601.0","545.5","xxx","356.9","332.8","326.1","303.1","301.2","302.3","292.4","298.0","307.0","309.5","317.1","324.2","328.3","325.7","337.2","346.4","355.9","360.7","353.6","347.7","350.8","344.6","348.4","357.4","369.2","362.1","368.4","387.3","407.9","420.7","477.0","480.3","","Yugoslavia"
"Central Europe","44.7","48.8","29.1","20.9","24.4","19.4","20.0","20.4","20.1","20.7","19.9","19.3","19.4","20.0","20.7","21.1","21.1","22.1","22.5","23.9","22.9","22.0","21.3","20.7","20.4","20.2","21.5","24.3","24.7","26.8","29.8","34.1","36.0","37.8","39.5","39.4","",""
"Eastern Europe","272.2","252.4","213.5","xxx","46.8","41.0","39.7","26.7","25.2","27.8","17.0","18.6","24.7","26.6","29.5","31.2","32.8","37.8","42.6","47.6","52.2","52.8","53.7","58.3","66.9","70.0","75.4","81.6","84.9","70.3","69.0","72.8","75.2","76.3","120.4","135.4","",""
"Western Europe","298.7","299.8","302.8","297.4","285.6","272.4","266.4","255.9","255.9","253.8","255.6","260.1","262.8","262.9","266.9","271.9","274.4","265.8","272.1","274.9","280.8","285.9","278.6","268.7","263.4","254.4","251.5","251.5","259.6","264.9","269.5","280.4","296.7","306.6","317.2","305.5","",""
"Middle East Total","66.4","63.1","88.0","97.6","82.6","77.8","76.0","73.0","72.1","84.6","89.9","88.6","97.9","101.1","96.8","98.1","104.1","112.4","119.6","131.8","133.2","138.9","146.6","151.5","164.9","182.8","197.9","208.8","188.0","197.1","205.7","196.8","179.5","174.5","180.1","184.1","","Syria, Yemen, North, Yemen"
