Dealership,Season,Car,Buyer,Buyer_Age,Price,Buyer_Income
Philladephia,Fall,GMC,Male,50,40904,241850
Phoenix,Winter,Subaru,Male,50,14194,291608
Austin,Summer,Ford,Female,83,47677,146389
Philladephia,Fall,GMC,Male,64,31342,129165
Houston,Summer,Nissan,Male,69,23350,108070
NYC,Winter,Hyundai,Female,21,41880,239508
Phoenix,Summer,Subaru,Male,71,33098,282412
San Diego,Summer,Honda,Female,56,16798,260163
San Antonio,Fall,Hyundai,Female,55,45923,149534
Columbus,Spring,Nissan,Male,35,17734,78479
NYC,Fall,Honda,Female,52,29249,299828
NYC,Fall,GMC,Female,78,33030,221168
LA,Winter,Ram,Female,46,12121,291843
Philladephia,Summer,Hyundai,Female,79,42446,148356
LA,Winter,Honda,Male,83,23632,194427
Austin,Fall,Honda,Male,21,20272,100900
Seattle,Winter,Ram,Male,41,48300,142826
LA,Fall,Jeep,Female,26,22332,256698
Seattle,Winter,Toyota,Male,56,17972,293895
NYC,Spring,GMC,Male,50,24447,47427
LA,Winter,Ford,Male,61,36852,43742
LA,Fall,Hyundai,Female,50,19980,100978
Austin,Summer,Kia,Female,29,27193,125222
Houston,Fall,Ram,Male,45,17593,212092
NYC,Spring,Nissan,Female,78,46070,88615
Phoenix,Summer,Honda,Female,46,26533,63036
Phoenix,Winter,Kia,Female,53,49810,206584
Chicago,Fall,Chevrolet,Female,31,22567,174415
NYC,Fall,Subaru,Male,59,20463,140898
San Diego,Summer,Nissan,Female,62,32330,157311
NYC,Winter,Hyundai,Male,59,18883,298571
Seattle,Summer,Ram,Female,61,39631,119517
Chicago,Winter,Honda,Female,81,14982,79352
Chicago,Summer,Hyundai,Female,45,20654,195082
Houston,Winter,Honda,Female,76,43950,212606
San Diego,Fall,Nissan,Female,40,45283,164547
Austin,Spring,Hyundai,Male,25,42822,185265
Chicago,Spring,Chevrolet,Female,68,10084,219888
Philladephia,Summer,GMC,Male,49,29511,251590
Seattle,Spring,GMC,Male,41,31571,177446
San Antonio,Spring,Subaru,Female,52,43546,284596
Seattle,Spring,Toyota,Female,45,25255,93927
NYC,Fall,Jeep,Female,52,41441,295377
Houston,Fall,Ram,Female,27,26852,279494
Chicago,Fall,Jeep,Female,76,46327,221182
Chicago,Fall,Ford,Male,33,37938,262218
Houston,Fall,Toyota,Male,44,49314,135503
Austin,Fall,GMC,Male,56,37009,153117
San Diego,Spring,Toyota,Female,24,13953,175076
Austin,Winter,Chevrolet,Female,57,15010,134186
LA,Summer,Hyundai,Female,53,25325,60042
Houston,Spring,Chevrolet,Female,41,18065,50200
San Antonio,Fall,Chevrolet,Female,31,35674,249362
Columbus,Winter,Subaru,Female,83,42907,246771
NYC,Summer,GMC,Male,54,17033,292110
Philladephia,Fall,Kia,Female,51,21905,133596
Phoenix,Summer,Jeep,Female,42,26064,120899
Seattle,Winter,Hyundai,Female,55,37436,205098
Philladephia,Fall,Chevrolet,Female,57,27935,116223
Philladephia,Spring,Jeep,Female,59,45168,191669
San Antonio,Winter,Honda,Male,35,24329,251658
Seattle,Summer,Toyota,Male,27,30009,155721
LA,Fall,GMC,Female,57,40689,85719
Seattle,Spring,GMC,Male,70,25967,109999
LA,Spring,Honda,Female,79,43503,184062
Austin,Winter,GMC,Female,23,37972,202980
San Diego,Summer,Jeep,Female,53,49864,229642
San Antonio,Fall,Ford,Male,80,44060,65709
Chicago,Winter,Hyundai,Male,82,18933,225108
San Antonio,Fall,Ram,Female,66,20394,239218
Phoenix,Summer,Jeep,Male,50,40697,295415
Phoenix,Fall,Ram,Female,66,46607,267790
Philladephia,Winter,Toyota,Male,53,30562,208274
San Antonio,Summer,Hyundai,Male,27,11534,145425
Houston,Summer,Nissan,Male,33,39113,85201
Chicago,Summer,GMC,Male,41,15721,256648
Chicago,Spring,Jeep,Male,66,39749,116058
Philladephia,Spring,Jeep,Male,31,39967,71814
Philladephia,Summer,Nissan,Female,32,18095,269146
Phoenix,Summer,Toyota,Male,33,33600,208355
NYC,Winter,Toyota,Female,51,31662,251679
Phoenix,Spring,Hyundai,Female,37,29948,63523
Phoenix,Summer,Ford,Female,30,37052,153193
Chicago,Winter,Toyota,Male,43,31491,251359
Philladephia,Fall,Honda,Female,22,12415,140092
San Diego,Fall,Toyota,Female,54,11052,76218
Columbus,Summer,GMC,Female,40,32787,150605
NYC,Winter,Ram,Male,82,22944,78072
San Diego,Fall,Ram,Male,55,29561,81018
Seattle,Spring,Toyota,Male,56,20523,138046
Columbus,Spring,GMC,Female,71,10460,138371
Phoenix,Winter,Ford,Male,47,33705,150435
Philladephia,Winter,Jeep,Female,66,32254,142600
Houston,Fall,Hyundai,Female,59,32211,281120
San Diego,Summer,GMC,Male,37,46631,100963
NYC,Summer,Nissan,Male,63,43813,73137
San Antonio,Winter,Chevrolet,Male,83,17420,286426
LA,Spring,Nissan,Male,52,37334,58172
Chicago,Winter,Kia,Female,50,10726,113642
Houston,Fall,Hyundai,Female,73,49817,267215
San Diego,Spring,GMC,Male,75,22335,142149
Phoenix,Winter,Ford,Male,40,26738,59088
Philladephia,Winter,Nissan,Female,45,46644,241095
LA,Spring,Jeep,Male,69,29611,102525
Philladephia,Fall,Honda,Male,37,24052,79111
San Antonio,Winter,Chevrolet,Male,41,14417,216283
Austin,Fall,GMC,Male,58,17534,163534
San Antonio,Fall,Ford,Male,32,37491,186891
Philladephia,Fall,Subaru,Male,66,42539,154867
Austin,Summer,Honda,Female,68,47542,271522
Houston,Spring,GMC,Female,57,14407,40241
LA,Fall,GMC,Female,51,34829,215626
San Antonio,Winter,Ford,Male,79,22499,110195
Chicago,Summer,Honda,Female,77,14741,254269
Columbus,Spring,Chevrolet,Female,35,25645,171071
NYC,Spring,Hyundai,Female,28,37789,67281
Philladephia,Winter,Nissan,Male,55,49693,174040
San Antonio,Fall,Hyundai,Male,46,34151,245965
San Diego,Summer,Jeep,Male,44,12460,81417
Columbus,Spring,Kia,Male,80,35681,150628
NYC,Summer,Honda,Male,81,42003,100972
LA,Spring,Kia,Female,33,42836,205297
Austin,Fall,GMC,Male,71,15309,105316
LA,Summer,Kia,Female,57,49546,223150
Houston,Spring,Kia,Male,53,41899,105065
Houston,Spring,Ford,Male,32,18351,194478
Phoenix,Winter,Hyundai,Female,60,41514,228928
San Antonio,Spring,Toyota,Male,61,40649,197507
Austin,Winter,Kia,Female,54,41654,137496
LA,Summer,Hyundai,Male,54,18788,198472
San Antonio,Winter,Ford,Male,70,16746,117866
Seattle,Summer,Kia,Male,40,45534,181562
San Antonio,Summer,Ram,Male,46,25609,59463
Austin,Fall,Hyundai,Male,50,24632,212382
San Antonio,Summer,Honda,Female,65,42762,234274
Chicago,Fall,Honda,Male,23,47918,158270
